,hasc,name_mk,name,region_mk,city_mk,city_en,entity_mk,entity_en
0,MK.VD,Кисела Вода,Kisela Voda,Скопски,Скопје,Skopje,Скопје,Skopje
1,MK.AD,Аеродром,Aerodrom,Скопски,Скопје,Skopje,Скопје,Skopje
2,MK.GB,Гази Баба,Gazi Baba,Скопски,Скопје,Skopje,Скопје,Skopje
3,MK.BU,Бутел,Butel,Скопски,Скопје,Skopje,Скопје,Skopje
4,MK.CI,Чаир,Čair,Скопски,Скопје,Skopje,Скопје,Skopje
5,MK.SO,Шуто Оризари,Šuto Orizari,Скопски,Скопје,Skopje,Скопје,Skopje
6,MK.CE,Центар,Centar,Скопски,Скопје,Skopje,Скопје,Skopje
7,MK.AJ,Сарај,Saraj,Скопски,Скопје,Skopje,Скопје,Skopje
8,MK.GP,Ѓорче Петров,Gjorče Petrov,Скопски,Скопје,Skopje,Скопје,Skopje
9,MK.KX,Карпош,Karpoš,Скопски,Скопје,Skopje,Скопје,Skopje
10,MK.OC,Кочани,Kočani,Источен,Кочани,Kočani,Кочани,Kočani
11,MK.SS,Сопиште,Sopište,Скопски,,,Сопиште,Sopište
12,MK.SU,Студеничани,Studeničani,Скопски,,,Студеничани,Studeničani
13,MK.ZK,Зелениково,Zelenikovo,Скопски,,,Зелениково,Zelenikovo
14,MK.PE,Петровец,Skopje,Скопски,,,Петровец,Skopje
15,MK.IL,Илинден,Ilinden,Скопски,Скопје,Skopje,Скопје,Skopje
16,MK.CS,Чучер Сандево,Čučer Sandevo,Скопски,,,Чучер Сандево,Čučer Sandevo
17,MK.AR,Арачиново,Aračinovo,Скопски,,,Арачиново,Aračinovo
18,MK.LO,Лозово,Lozovo,Вардарски,,,Лозово,Lozovo
19,MK.SL,Свети Николе,Sveti Nikole,Вардарски,Свети Николе,Sveti Nikole,Свети Николе,Sveti Nikole
20,MK.VE,Велес,Veles,Вардарски,Велес,Veles,Велес,Veles
21,MK.GR,Градско,Gradsko,Вардарски,,,Градско,Gradsko
22,MK.CA,Чашка,Čaška,Вардарски,,,Чашка,Čaška
23,MK.RM,Росоман,Rosoman,Вардарски,,,Росоман,Rosoman
24,MK.AV,Кавадарци,Kavadartsi,Вардарски,Кавадарци,Kavadartsi,Кавадарци,Kavadartsi
25,MK.NG,Неготино,Negotino,Вардарски,Неготино,Negotino,Неготино,Negotino
26,MK.DK,Демир Капија,Demir Kapija,Вардарски,Демир Капија,Demir Kapija,Демир Капија,Demir Kapija
27,MK.ST,Штип,Štip,Источен,Штип,Štip,Штип,Štip
28,MK.KB,Карбинци,Karbinci,Источен,,,Карбинци,Karbinci
29,MK.ZR,Зрновци,Zrnovci,Источен,,,Зрновци,Zrnovci
30,MK.CH,Чешиново-Облешево,Češinovo-Obleševo,Источен,,,Чешиново-Облешево,Češinovo-Obleševo
31,MK.PT,Пробиштип,Probištip,Источен,Пробиштип,Probištip,Пробиштип,Probištip
32,MK.MK,Македонска Каменица,Makedonska Kamenica,Источен,Македонска Каменица,Makedonska Kamenica,Македонска Каменица,Makedonska Kamenica
33,MK.NI,Виница,Vinica,Источен,Виница,Vinica,Виница,Vinica
34,MK.DL,Делчево,Delčevo,Источен,Делчево,Delčevo,Делчево,Delčevo
35,MK.PH,Пехчево,Pehčevo,Источен,Пехчево,Pehčevo,Пехчево,Pehčevo
36,MK.BR,Берово,Berovo,Источен,Берово,Berovo,Берово,Berovo
37,MK.LI,Липково,Lipkovo,Североисточен,,,Липково,Lipkovo
38,MK.UM,Куманово,Kumanovo,Североисточен,Куманово,Kumanovo,Куманово,Kumanovo
39,MK.NA,Старо Нагоричане,Staro Nagoričane,Североисточен,,,Старо Нагоричане,Staro Nagoričane
40,MK.KY,Кратово,Kratovo,Североисточен,Кратово,Kratovo,Кратово,Kratovo
41,MK.RN,Ранковце,Rankovce,Североисточен,,,Ранковце,Rankovce
42,MK.KZ,Крива Паланка,Kriva Palanka,Североисточен,Крива Паланка,Kriva Palanka,Крива Паланка,Kriva Palanka
43,MK.RV,Радовиш,Radoviš,Југоисточен,Радовиш,Radoviš,Радовиш,Radoviš
44,MK.VL,Василево,Vasilevo,Југоисточен,,,Василево,Vasilevo
45,MK.KN,Конче,Konče,Југоисточен,,,Конче,Konče
46,MK.BS,Босилово,Bosilovo,Југоисточен,,,Босилово,Bosilovo
47,MK.NS,Ново Село,Novo Selo,Југоисточен,,,Ново Село,Novo Selo
48,MK.VA,Валандово,Valandovo,Југоисточен,Валандово,Valandovo,Валандово,Valandovo
49,MK.RU,Струмица,Strumitsa,Југоисточен,Струмица,Strumitsa,Струмица,Strumitsa
50,MK.SD,Дојран,Dojran,Југоисточен,Дојран,Dojran,Дојран,Dojran
51,MK.GV,Гевгелија,Gevgelija,Југоисточен,Гевгелија,Gevgelija,Гевгелија,Gevgelija
52,MK.BG,Богданци,Bogdanci,Југоисточен,Богданци,Bogdanci,Богданци,Bogdanci
53,MK.DE,Долнени,Dolneni,Пелагониски,,,Долнени,Dolneni
54,MK.PP,Прилеп,Prilep,Пелагониски,Прилеп,Prilep,Прилеп,Prilep
55,MK.KG,Кривогаштани,Krivogaštani,Пелагониски,,,Кривогаштани,Krivogaštani
56,MK.KS,Крушево,Kruševo,Пелагониски,Крушево,Kruševo,Крушево,Kruševo
57,MK.MG,Могила,Mogila,Пелагониски,,,Могила,Mogila
58,MK.NV,Новаци,Novaci,Пелагониски,,,Новаци,Novaci
59,MK.DM,Демир Хисар,Demir Hisar,Пелагониски,Демир Хисар,Demir Hisar,Демир Хисар,Demir Hisar
60,MK.TL,Битола,Bitola,Пелагониски,Битола,Bitola,Битола,Bitola
61,MK.RE,Ресен,Resen,Пелагониски,Ресен,Resen,Ресен,Resen
62,MK.OD,Охрид,Ohrid,Југозападен,Охрид,Ohrid,Охрид,Ohrid
63,MK.DA,Дебaрца,Debarca,Југозападен,,,Дебaрца,Debarca
64,MK.VV,Вевчани,Vevčani,Југозападен,,,Вевчани,Vevčani
